0.88,0.68,0.68,0.66,0.64,0.62,0.63,0.58,0.58,0.58,0.57,0.54,0.54
0.68,0.85,0.64,0.67,0.61,0.56,0.57,0.59,0.55,0.57,0.57,0.52,0.51
0.68,0.64,0.83,0.64,0.59,0.59,0.54,0.53,0.51,0.52,0.5,0.49,0.49
0.67,0.62,0.57,0.78,0.55,0.52,0.51,0.52,0.49,0.5,0.45,0.45,0.46
0.66,0.61,0.57,0.57,0.76,0.52,0.51,0.47,0.45,0.47,0.45,0.45,0.41
0.65,0.61,0.57,0.53,0.5,0.75,0.48,0.46,0.46,0.44,0.42,0.4,0.4
0.6,0.58,0.52,0.53,0.49,0.49,0.69,0.47,0.45,0.43,0.41,0.37,0.37
0.61,0.56,0.51,0.52,0.48,0.43,0.43,0.72,0.43,0.4,0.4,0.38,0.35
0.59,0.55,0.51,0.5,0.49,0.47,0.42,0.43,0.67,0.4,0.42,0.37,0.34
0.59,0.57,0.5,0.49,0.46,0.4,0.41,0.4,0.4,0.61,0.35,0.34,0.35
0.54,0.56,0.53,0.45,0.46,0.42,0.39,0.39,0.36,0.35,0.58,0.35,0.34
0.55,0.52,0.48,0.45,0.41,0.4,0.37,0.35,0.34,0.37,0.33,0.55,0.31
0.59,0.5,0.47,0.42,0.4,0.37,0.37,0.33,0.34,0.32,0.32,0.3,0.53
