A,K,Q,J,T,9,8,7,6,5,4,3,2
0.3535,0.2322,0.217,0.2048,0.1951,0.1736,0.1672,0.161,0.1556,0.152,0.1489,0.1462,0.1449
0.1987,0.2978,0.2056,0.1953,0.1862,0.1648,0.1497,0.1457,0.1402,0.1364,0.1337,0.132,0.1305
0.1805,0.1708,0.2536,0.1893,0.1821,0.1603,0.1464,0.1333,0.1292,0.1263,0.1234,0.1208,0.1196
0.1669,0.158,0.1553,0.2209,0.1806,0.1595,0.1458,0.132,0.121,0.1184,0.1159,0.1137,0.1118
0.1561,0.1484,0.1459,0.1472,0.1952,0.162,0.1479,0.1349,0.1221,0.112,0.1101,0.1073,0.1056
0.1322,0.1239,0.1215,0.1235,0.1269,0.1755,0.1464,0.1357,0.1242,0.1126,0.1022,0.1006,0.0993
0.1243,0.1091,0.1058,0.1073,0.1115,0.1097,0.1618,0.1391,0.1289,0.1181,0.1064,0.0971,0.0957
0.1185,0.1036,0.0925,0.0929,0.0972,0.0991,0.1021,0.1507,0.1317,0.1231,0.1122,0.1013,0.0919
0.1129,0.0982,0.0877,0.0804,0.0834,0.0867,0.092,0.0965,0.1415,0.1285,0.1196,0.1084,0.0985
0.1082,0.0945,0.0842,0.0771,0.0715,0.0735,0.0799,0.0864,0.0928,0.1365,0.1142,0.1056,0.0958
0.105,0.0917,0.0819,0.0749,0.0692,0.0631,0.0681,0.0747,0.0835,0.078,0.1326,0.1008,0.0932
0.1027,0.0888,0.0793,0.0725,0.0673,0.0612,0.0574,0.0634,0.0718,0.0686,0.0636,0.1306,0.0894
0.1003,0.0866,0.0772,0.0703,0.0655,0.0594,0.0562,0.0536,0.0601,0.0579,0.0556,0.0509,0.1288
