A,K,Q,J,T,9,8,7,6,5,4,3,2
0.5796,0.4016,0.3747,0.3475,0.3339,0.3142,0.3061,0.299,0.2911,0.2834,0.2763,0.2706,0.2653
0.3824,0.5202,0.322,0.3084,0.3051,0.2883,0.278,0.2753,0.2708,0.2655,0.2596,0.2539,0.2477
0.3548,0.2984,0.4785,0.3039,0.3006,0.2847,0.2741,0.2633,0.2605,0.2551,0.2492,0.2432,0.2381
0.3242,0.2834,0.2787,0.4395,0.3008,0.2866,0.2756,0.2645,0.2526,0.2497,0.2431,0.2379,0.2323
0.3097,0.2796,0.2756,0.2768,0.413,0.2918,0.2805,0.2694,0.2571,0.2438,0.241,0.2346,0.23
0.2885,0.2614,0.2593,0.2612,0.2667,0.3878,0.2808,0.2705,0.2599,0.2468,0.2337,0.2296,0.2253
0.2809,0.2511,0.2462,0.2501,0.2546,0.2557,0.3674,0.2729,0.2631,0.2497,0.2364,0.2223,0.2196
0.2723,0.2481,0.236,0.2377,0.242,0.2445,0.2462,0.348,0.2644,0.2525,0.2396,0.2253,0.213
0.264,0.244,0.2331,0.2249,0.2292,0.2329,0.2365,0.238,0.3292,0.2557,0.2443,0.2307,0.218
0.2561,0.2368,0.2277,0.2208,0.2152,0.2181,0.2223,0.2257,0.2298,0.3099,0.236,0.2233,0.2115
0.2484,0.2313,0.2207,0.215,0.2123,0.2046,0.2084,0.2115,0.2173,0.209,0.2914,0.2172,0.2045
0.2416,0.2254,0.2137,0.2093,0.2053,0.2003,0.1943,0.1968,0.2026,0.1961,0.1885,0.272,0.1988
0.2354,0.2199,0.2088,0.2036,0.1999,0.1945,0.1905,0.1833,0.1885,0.1817,0.1754,0.1694,0.2574
