0.64,0.41,0.4,0.39,0.38,0.35,0.35,0.34,0.32,0.31,0.29,0.29,0.28
0.39,0.58,0.38,0.37,0.35,0.34,0.31,0.3,0.29,0.28,0.28,0.27,0.27
0.37,0.35,0.54,0.36,0.34,0.32,0.3,0.29,0.27,0.26,0.26,0.25,0.24
0.35,0.33,0.33,0.5,0.35,0.32,0.29,0.28,0.25,0.24,0.24,0.23,0.23
0.33,0.33,0.32,0.31,0.45,0.31,0.28,0.28,0.25,0.24,0.23,0.22,0.22
0.31,0.3,0.29,0.28,0.28,0.42,0.28,0.27,0.26,0.23,0.21,0.21,0.2
0.3,0.28,0.26,0.26,0.25,0.25,0.38,0.26,0.25,0.23,0.21,0.2,0.2
0.3,0.27,0.25,0.23,0.23,0.23,0.23,0.35,0.25,0.24,0.23,0.21,0.18
0.29,0.26,0.23,0.22,0.21,0.21,0.22,0.21,0.32,0.24,0.22,0.21,0.19
0.28,0.24,0.23,0.21,0.19,0.19,0.19,0.2,0.2,0.29,0.21,0.2,0.18
0.26,0.24,0.22,0.2,0.19,0.17,0.17,0.18,0.19,0.18,0.26,0.18,0.18
0.26,0.23,0.22,0.19,0.18,0.17,0.15,0.16,0.16,0.16,0.15,0.24,0.17
0.25,0.22,0.2,0.19,0.18,0.16,0.16,0.14,0.15,0.14,0.14,0.12,0.22
