A,K,Q,J,T,9,8,7,6,5,4,3,2
0.7381,0.5105,0.4979,0.485,0.4748,0.4484,0.4381,0.4267,0.4165,0.4056,0.3969,0.3868,0.3793
0.4852,0.6945,0.4744,0.461,0.4506,0.4271,0.4045,0.3947,0.3844,0.3755,0.3661,0.3567,0.3502
0.4722,0.4475,0.6561,0.445,0.4342,0.4088,0.388,0.3668,0.3588,0.3496,0.3409,0.3317,0.3242
0.4583,0.4342,0.4169,0.6189,0.4217,0.3971,0.3764,0.3548,0.3364,0.3285,0.3194,0.312,0.3039
0.4461,0.4222,0.4051,0.3924,0.5816,0.3897,0.3692,0.3483,0.3272,0.308,0.3022,0.2947,0.2863
0.4184,0.3942,0.378,0.3659,0.3583,0.5423,0.361,0.3424,0.3222,0.3026,0.2831,0.2783,0.2703
0.4074,0.3726,0.355,0.3436,0.3366,0.3288,0.5054,0.339,0.3201,0.3011,0.2814,0.2624,0.2581
0.3953,0.363,0.3337,0.3214,0.3149,0.3089,0.305,0.4699,0.3194,0.3016,0.2832,0.2637,0.2448
0.3836,0.3515,0.3241,0.2994,0.2926,0.2869,0.285,0.2849,0.4371,0.3042,0.2881,0.27,0.2498
0.3724,0.3407,0.3135,0.2924,0.2712,0.2659,0.2642,0.2652,0.2684,0.4022,0.278,0.2604,0.2413
0.3618,0.3309,0.3043,0.282,0.2646,0.2451,0.2432,0.2445,0.2501,0.2393,0.3693,0.251,0.2338
0.3524,0.3204,0.2951,0.2734,0.2557,0.2393,0.2227,0.2245,0.2294,0.2205,0.2111,0.3368,0.2259
0.3435,0.3122,0.2858,0.2651,0.2472,0.2303,0.2172,0.2039,0.2092,0.2011,0.1921,0.1836,0.3076
