0.74,0.51,0.5,0.48,0.47,0.46,0.44,0.43,0.41,0.4,0.39,0.38,0.38
0.49,0.7,0.47,0.47,0.45,0.42,0.41,0.39,0.39,0.38,0.36,0.35,0.35
0.47,0.45,0.65,0.44,0.43,0.41,0.39,0.36,0.35,0.35,0.34,0.34,0.32
0.46,0.44,0.42,0.63,0.42,0.4,0.37,0.35,0.33,0.33,0.31,0.31,0.3
0.45,0.42,0.41,0.4,0.58,0.39,0.37,0.35,0.32,0.31,0.3,0.29,0.29
0.42,0.4,0.38,0.36,0.35,0.54,0.36,0.34,0.32,0.3,0.28,0.28,0.27
0.41,0.37,0.35,0.35,0.33,0.33,0.51,0.34,0.32,0.29,0.29,0.26,0.25
0.39,0.36,0.33,0.32,0.32,0.32,0.3,0.48,0.32,0.3,0.29,0.26,0.24
0.39,0.35,0.32,0.3,0.29,0.28,0.29,0.28,0.44,0.3,0.29,0.27,0.25
0.37,0.34,0.3,0.29,0.27,0.26,0.26,0.26,0.27,0.4,0.28,0.26,0.25
0.36,0.33,0.31,0.29,0.27,0.25,0.24,0.25,0.25,0.24,0.37,0.25,0.23
0.36,0.33,0.3,0.27,0.26,0.24,0.22,0.22,0.23,0.22,0.21,0.34,0.22
0.34,0.31,0.28,0.26,0.24,0.24,0.22,0.2,0.22,0.2,0.19,0.19,0.3
