0.5,0.31,0.3,0.28,0.27,0.25,0.24,0.23,0.23,0.21,0.21,0.21,0.19
0.28,0.43,0.28,0.27,0.26,0.24,0.21,0.21,0.21,0.19,0.19,0.19,0.18
0.27,0.26,0.38,0.26,0.26,0.23,0.2,0.2,0.19,0.18,0.18,0.17,0.17
0.25,0.24,0.23,0.35,0.26,0.23,0.2,0.18,0.18,0.17,0.16,0.16,0.15
0.23,0.23,0.22,0.22,0.3,0.24,0.2,0.19,0.18,0.16,0.15,0.15,0.16
0.2,0.2,0.2,0.19,0.19,0.27,0.21,0.19,0.18,0.17,0.15,0.15,0.14
0.2,0.16,0.16,0.16,0.17,0.17,0.24,0.18,0.18,0.17,0.15,0.14,0.13
0.18,0.17,0.15,0.15,0.15,0.15,0.15,0.22,0.17,0.16,0.15,0.14,0.13
0.18,0.16,0.15,0.13,0.13,0.15,0.14,0.14,0.2,0.17,0.16,0.15,0.13
0.17,0.16,0.14,0.13,0.12,0.12,0.12,0.12,0.14,0.18,0.15,0.14,0.13
0.17,0.14,0.13,0.12,0.12,0.1,0.11,0.12,0.12,0.11,0.17,0.14,0.13
0.16,0.14,0.13,0.12,0.12,0.1,0.09,0.1,0.1,0.1,0.09,0.16,0.12
0.16,0.14,0.12,0.11,0.11,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.16
