A,K,Q,J,T,9,8,7,6,5,4,3,2
0.8531,0.6723,0.6642,0.6554,0.6472,0.63,0.6202,0.6116,0.6031,0.5926,0.5823,0.5748,0.5658
0.6554,0.8285,0.6369,0.6285,0.6207,0.6014,0.5849,0.5787,0.5693,0.5585,0.549,0.5411,0.533
0.6459,0.6179,0.8033,0.6056,0.5965,0.5793,0.5636,0.5457,0.5391,0.5286,0.5196,0.5108,0.5013
0.6372,0.6097,0.5851,0.7794,0.5775,0.5596,0.5427,0.5259,0.5088,0.4991,0.4909,0.482,0.4734
0.629,0.6007,0.5763,0.5554,0.755,0.5434,0.5252,0.5091,0.4905,0.4729,0.466,0.4567,0.4493
0.6096,0.5807,0.557,0.5348,0.5183,0.7254,0.5101,0.4938,0.4754,0.4579,0.4389,0.4323,0.4249
0.6004,0.5627,0.5382,0.5176,0.4996,0.483,0.6968,0.4813,0.4647,0.4456,0.4281,0.4088,0.403
0.5886,0.5551,0.5203,0.4991,0.4822,0.4651,0.4527,0.6669,0.4558,0.4366,0.4187,0.3992,0.381
0.5796,0.5448,0.5129,0.4805,0.4639,0.4472,0.4339,0.4247,0.6375,0.4333,0.4157,0.3983,0.3789
0.5693,0.5349,0.5017,0.472,0.4421,0.426,0.4144,0.405,0.4012,0.6042,0.4018,0.3839,0.3647
0.5592,0.5242,0.4916,0.4619,0.4359,0.4066,0.394,0.3847,0.3827,0.3677,0.5707,0.3733,0.3544
0.549,0.5146,0.4833,0.4533,0.4252,0.3995,0.3744,0.3666,0.362,0.3484,0.3365,0.5369,0.3457
0.5421,0.5058,0.4723,0.4434,0.4166,0.3909,0.3683,0.3455,0.3431,0.3289,0.3176,0.3086,0.5028
