A,K,Q,J,T,9,8,7,6,5,4,3,2
0.5495,0.5152,0.5097,0.5037,0.5004,0.4965,0.4944,0.4924,0.4906,0.4888,0.4873,0.4857,0.4842
0.5116,0.5425,0.4953,0.4919,0.4913,0.4875,0.4849,0.4848,0.4835,0.4821,0.4805,0.4792,0.4777
0.5064,0.4911,0.5346,0.4911,0.49,0.4866,0.4839,0.482,0.4809,0.4797,0.478,0.4764,0.4747
0.4998,0.4869,0.4852,0.5285,0.4895,0.4864,0.4841,0.4817,0.4791,0.4782,0.4767,0.4748,0.4736
0.4959,0.486,0.4844,0.4847,0.5227,0.4873,0.4848,0.4822,0.4792,0.476,0.4756,0.4742,0.4725
0.4919,0.4821,0.481,0.4812,0.4816,0.5174,0.4847,0.4826,0.4793,0.4764,0.4731,0.4723,0.4705
0.4898,0.4799,0.4786,0.4785,0.4791,0.4795,0.5124,0.4828,0.4795,0.4771,0.4738,0.4706,0.4691
0.4877,0.4791,0.476,0.4758,0.4764,0.4768,0.4769,0.5081,0.48,0.4771,0.4739,0.4706,0.4673
0.4854,0.4778,0.4752,0.4733,0.4736,0.4741,0.4742,0.4746,0.5028,0.4776,0.4742,0.4715,0.4679
0.4836,0.4762,0.4737,0.4724,0.4699,0.471,0.471,0.4712,0.4721,0.4971,0.4722,0.469,0.4658
0.4816,0.4747,0.4718,0.4703,0.469,0.4672,0.4676,0.4677,0.4687,0.4666,0.4918,0.4676,0.4642
0.48,0.4728,0.4709,0.4686,0.4676,0.4663,0.464,0.4645,0.4651,0.4629,0.4612,0.4865,0.462
0.4785,0.4712,0.4688,0.4668,0.4656,0.4641,0.463,0.4608,0.4616,0.4596,0.4575,0.4561,0.4815
