A,K,Q,J,T,9,8,7,6,5,4,3,2
0.5642,0.3594,0.3415,0.3275,0.3152,0.2874,0.2789,0.269,0.2594,0.2525,0.2457,0.2403,0.2342
0.3293,0.5056,0.3274,0.313,0.3006,0.274,0.2538,0.2452,0.2375,0.2305,0.2233,0.2175,0.213
0.3093,0.2951,0.4546,0.3035,0.2926,0.266,0.2455,0.2263,0.2195,0.2129,0.2068,0.2018,0.1965
0.2942,0.2792,0.2714,0.4079,0.2884,0.262,0.2422,0.2235,0.2051,0.2004,0.1947,0.1888,0.184
0.28,0.2662,0.2586,0.2549,0.3694,0.2612,0.2424,0.2224,0.2054,0.1897,0.1841,0.1789,0.1741
0.2511,0.2379,0.2297,0.227,0.2266,0.3312,0.2376,0.2212,0.2046,0.1875,0.1731,0.1682,0.1633
0.2394,0.2146,0.2075,0.2045,0.2055,0.2023,0.2995,0.2215,0.2067,0.1904,0.1745,0.16,0.1566
0.2295,0.207,0.1874,0.1848,0.1856,0.1848,0.1857,0.2729,0.2086,0.1941,0.1786,0.1628,0.1501
0.2202,0.1971,0.1805,0.165,0.1663,0.1654,0.1688,0.1708,0.2481,0.199,0.1842,0.1694,0.155
0.2104,0.1893,0.1728,0.1596,0.1484,0.1473,0.1506,0.1551,0.161,0.2265,0.1767,0.1641,0.1494
0.2033,0.1821,0.1654,0.1527,0.1427,0.1315,0.1342,0.1391,0.1454,0.1373,0.2077,0.1565,0.1437
0.1973,0.176,0.1596,0.1466,0.1376,0.1261,0.1181,0.122,0.1293,0.1227,0.1159,0.1918,0.138
0.1927,0.1704,0.1539,0.1415,0.1316,0.1219,0.1146,0.1069,0.1131,0.1075,0.102,0.0957,0.1786
