0.35,0.23,0.22,0.2,0.2,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15
0.2,0.29,0.21,0.19,0.18,0.17,0.15,0.15,0.14,0.14,0.13,0.14,0.13
0.19,0.18,0.26,0.19,0.18,0.17,0.14,0.13,0.13,0.12,0.12,0.12,0.12
0.17,0.15,0.16,0.22,0.19,0.16,0.14,0.13,0.12,0.12,0.12,0.11,0.11
0.16,0.14,0.15,0.14,0.2,0.16,0.15,0.13,0.12,0.12,0.11,0.1,0.11
0.13,0.12,0.12,0.12,0.12,0.17,0.14,0.14,0.12,0.12,0.1,0.1,0.09
0.12,0.11,0.11,0.11,0.12,0.11,0.16,0.14,0.13,0.12,0.11,0.1,0.09
0.12,0.11,0.09,0.09,0.1,0.1,0.1,0.14,0.13,0.12,0.11,0.1,0.1
0.11,0.1,0.09,0.08,0.08,0.09,0.09,0.09,0.14,0.13,0.12,0.11,0.09
0.11,0.1,0.08,0.08,0.07,0.07,0.08,0.09,0.09,0.13,0.11,0.11,0.09
0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.09,0.08,0.14,0.11,0.09
0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.06,0.14,0.09
0.1,0.09,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.12
