A,K,Q,J,T,9,8,7,6,5,4,3,2
0.643,0.4181,0.4035,0.3884,0.3772,0.3498,0.3388,0.3272,0.3181,0.3092,0.3018,0.293,0.2868
0.3902,0.5896,0.3849,0.3709,0.3597,0.3319,0.3101,0.302,0.2925,0.2829,0.2759,0.2687,0.2622
0.3737,0.3548,0.542,0.359,0.3469,0.3209,0.2992,0.2794,0.2712,0.2638,0.2551,0.2487,0.2416
0.3579,0.3391,0.3279,0.499,0.3404,0.3139,0.2938,0.2734,0.2527,0.2471,0.2402,0.2331,0.2268
0.3445,0.327,0.3153,0.309,0.4602,0.3119,0.2903,0.2707,0.2509,0.2326,0.2285,0.2211,0.2142
0.3152,0.2975,0.287,0.2805,0.2783,0.4176,0.2862,0.2676,0.2485,0.2312,0.2139,0.2084,0.2017
0.3031,0.2743,0.2625,0.2576,0.255,0.2515,0.3816,0.2677,0.25,0.232,0.2141,0.198,0.194
0.2914,0.2649,0.2416,0.2357,0.2342,0.2315,0.2321,0.3491,0.2515,0.2348,0.2182,0.2003,0.184
0.2804,0.2539,0.2332,0.2147,0.2135,0.2117,0.2129,0.2143,0.3193,0.2394,0.2225,0.2052,0.1892
0.2711,0.2449,0.2238,0.2079,0.1933,0.1913,0.1943,0.1963,0.2016,0.291,0.2151,0.1997,0.1824
0.2617,0.2361,0.2161,0.1999,0.1866,0.1731,0.1743,0.1774,0.1845,0.1752,0.2652,0.191,0.1769
0.2537,0.2288,0.2079,0.1924,0.1799,0.168,0.1561,0.1591,0.1656,0.1583,0.1501,0.2406,0.1692
0.2467,0.22,0.2014,0.1846,0.173,0.1605,0.1513,0.1418,0.1476,0.141,0.134,0.1261,0.2204
