A,K,Q,J,T,9,8,7,6,5,4,3,2
0.442,0.2832,0.2659,0.2514,0.2403,0.2156,0.2077,0.2006,0.194,0.1884,0.1849,0.1802,0.1764
0.2508,0.3809,0.2523,0.2406,0.2294,0.2056,0.1877,0.1809,0.1751,0.1703,0.1662,0.1633,0.16
0.2305,0.2195,0.3317,0.2331,0.2235,0.1996,0.1827,0.1668,0.1618,0.1575,0.1538,0.15,0.1471
0.2154,0.2053,0.1991,0.2906,0.2213,0.1973,0.18,0.1647,0.1512,0.147,0.1432,0.1398,0.1371
0.2029,0.1929,0.1881,0.1864,0.2571,0.1988,0.1814,0.1663,0.1519,0.139,0.1362,0.1329,0.1306
0.1756,0.1665,0.1617,0.1616,0.1632,0.2287,0.1793,0.1664,0.1526,0.1391,0.1273,0.124,0.1219
0.166,0.1476,0.1426,0.143,0.1442,0.1428,0.2068,0.1679,0.1561,0.1436,0.1302,0.1187,0.1167
0.1585,0.1409,0.1261,0.126,0.1289,0.1286,0.1307,0.1901,0.1588,0.1479,0.1349,0.1234,0.1123
0.1508,0.134,0.1203,0.1103,0.1122,0.1137,0.1181,0.1214,0.1746,0.1531,0.1422,0.1299,0.1178
0.1453,0.128,0.1155,0.1058,0.0988,0.0997,0.104,0.1098,0.1155,0.1637,0.1366,0.1262,0.1145
0.1399,0.1232,0.1105,0.1012,0.0944,0.086,0.0904,0.0954,0.1039,0.0978,0.1546,0.1202,0.111
0.1365,0.1197,0.1071,0.0982,0.0909,0.0832,0.078,0.0826,0.0906,0.0866,0.0813,0.1482,0.1064
0.133,0.116,0.1037,0.095,0.0878,0.0805,0.0754,0.0711,0.078,0.0748,0.0708,0.0657,0.1443
