A,K,Q,J,T,9,8,7,6,5,4,3,2
0.4975,0.3168,0.2992,0.2847,0.2719,0.246,0.2379,0.2291,0.2205,0.2143,0.2091,0.2054,0.201
0.2851,0.4371,0.2858,0.2714,0.2613,0.2341,0.2163,0.2081,0.2008,0.1959,0.1901,0.1855,0.1819
0.2643,0.2529,0.3854,0.2643,0.2534,0.2276,0.2079,0.192,0.1854,0.1801,0.1758,0.1716,0.1677
0.249,0.2369,0.2303,0.3421,0.2505,0.2253,0.2066,0.1893,0.1734,0.1691,0.1648,0.1593,0.1569
0.236,0.2247,0.2181,0.2164,0.3051,0.2264,0.2068,0.1908,0.1737,0.1595,0.1557,0.1517,0.1481
0.2079,0.1963,0.1912,0.1892,0.1901,0.271,0.2039,0.1894,0.1737,0.1597,0.1457,0.1426,0.1389
0.1972,0.1754,0.1704,0.1689,0.1704,0.1672,0.2446,0.1901,0.1771,0.1627,0.149,0.1361,0.133
0.1882,0.1676,0.1517,0.1499,0.1519,0.1521,0.1535,0.2222,0.1786,0.1669,0.1524,0.14,0.1272
0.1796,0.1596,0.1454,0.1331,0.1343,0.1353,0.1384,0.1416,0.2036,0.171,0.1594,0.1465,0.1333
0.173,0.1535,0.1395,0.1277,0.1194,0.1187,0.123,0.1281,0.134,0.1884,0.153,0.1415,0.1289
0.1669,0.1475,0.1333,0.1225,0.1137,0.1047,0.1076,0.113,0.1203,0.1136,0.1745,0.1349,0.1248
0.1619,0.1427,0.128,0.1181,0.11,0.1006,0.0942,0.0981,0.1065,0.1013,0.0954,0.164,0.1193
0.1573,0.1378,0.1243,0.1138,0.1062,0.0969,0.0903,0.0851,0.0916,0.0877,0.0839,0.0781,0.1579
