A,K,Q,J,T,9,8,7,6,5,4,3,2
0.4685,0.4054,0.3956,0.3852,0.3797,0.3723,0.3689,0.3658,0.3622,0.3588,0.3557,0.3532,0.3502
0.3992,0.4572,0.3721,0.3668,0.3654,0.3584,0.3549,0.3535,0.3514,0.3488,0.346,0.3437,0.3411
0.3884,0.364,0.4433,0.3644,0.3629,0.3564,0.3524,0.3489,0.3472,0.3444,0.3418,0.3388,0.3361
0.3773,0.357,0.3546,0.4318,0.3633,0.3579,0.3534,0.3488,0.3442,0.3423,0.3395,0.3363,0.334
0.3715,0.3556,0.3533,0.353,0.4221,0.3597,0.3549,0.3498,0.3456,0.3393,0.3375,0.335,0.3327
0.3637,0.3483,0.3469,0.3478,0.3494,0.4125,0.3555,0.3506,0.3458,0.3407,0.3344,0.3328,0.3302
0.3597,0.344,0.3424,0.3432,0.3446,0.3455,0.4036,0.3517,0.3464,0.341,0.3351,0.3292,0.3277
0.3559,0.3432,0.3379,0.3383,0.3398,0.3404,0.3404,0.395,0.3475,0.3419,0.3352,0.3301,0.3239
0.3527,0.3415,0.3365,0.3326,0.3343,0.3349,0.3359,0.3364,0.3869,0.3427,0.3374,0.3309,0.3253
0.3492,0.3384,0.334,0.3314,0.328,0.3293,0.3302,0.3308,0.3317,0.3771,0.3337,0.3276,0.3219
0.3458,0.3351,0.331,0.3284,0.3265,0.3233,0.3239,0.3245,0.3258,0.3222,0.3676,0.324,0.3188
0.3424,0.3322,0.3281,0.3257,0.3236,0.3211,0.3176,0.3187,0.3197,0.3162,0.3124,0.3575,0.3161
0.3397,0.3296,0.3252,0.323,0.3206,0.3179,0.3159,0.3123,0.3138,0.3101,0.3072,0.3037,0.3487
